Date,Mkt-RF,SMB,HML,RMW,CMA,RF,WML
12/16/2011,0.25,-0.05,-0.1,-0.08,-0.15,0,-0.14
12/19/2011,-1.03,-0.2,-0.19,0.5,-0.06,0,1.19
12/20/2011,2.48,-0.23,0.03,-0.35,-0.16,0,-1.11
12/21/2011,0.12,0.18,0.63,-0.16,0.47,0,-0.11
12/22/2011,0.73,-0.52,0.5,-0.38,-0.03,0,-0.95
12/23/2011,0.71,-0.3,-0.18,0.11,-0.07,0,-0.02
12/26/2011,0.1,-0.04,-0.01,-0.04,0.02,0,-0.04
12/27/2011,0.04,0.14,-0.23,0.22,-0.13,0,0.36
12/28/2011,-1.32,0.08,-0.05,0.22,0.17,0,0.76
12/29/2011,0.92,-0.16,0.16,-0.16,0.01,0,-0.25
12/30/2011,0.3,0.38,-0.04,-0.1,-0.04,0,-0.31
1/2/2012,0.32,-0.09,0.11,-0.03,0,0,-0.25
1/3/2012,1.77,-0.3,0.01,-0.34,-0.37,0,-1.54
1/4/2012,-0.16,0.14,0.01,0.03,0.04,0,0.21
1/5/2012,-0.66,0.12,-0.28,-0.12,-0.16,0,0.23
1/6/2012,-0.42,0.07,-0.17,0.11,-0.05,0,0.15
1/9/2012,0.17,0.2,-0.33,0.06,0.01,0,0.2
1/10/2012,1.18,-0.28,0.26,-0.57,-0.04,0,-0.81
1/11/2012,-0.17,0.3,0.25,-0.35,0.14,0,-0.79
1/12/2012,0.36,0.05,-0.06,-0.27,0.01,0,-0.82
1/13/2012,-0.53,0.25,-0.1,0.23,0.11,0,0.14
1/16/2012,0.04,-0.02,-0.01,0.04,-0.07,0,0.05
1/17/2012,0.78,-0.09,-0.19,0.29,-0.1,0,-0.14
1/18/2012,1.07,0.11,-0.27,-0.33,-0.1,0,-1.17
1/19/2012,0.93,-0.33,0.34,-0.56,-0.08,0,-1.77
1/20/2012,0.21,0.36,0.53,-0.33,0.3,0,-0.7
1/23/2012,0.45,0.03,0.18,-0.16,-0.05,0,-0.65
1/24/2012,-0.28,0.12,-0.14,0.03,-0.13,0,0.13
1/25/2012,0.78,0.14,-0.45,0.1,-0.15,0,-0.42
1/26/2012,0.21,0.07,-0.11,0.1,-0.16,0,-0.2
1/27/2012,0.1,0.74,-0.14,0.02,-0.08,0,-0.19
1/30/2012,-0.73,0.18,-0.22,0.36,0.01,0,1
1/31/2012,0.08,0.09,0.09,-0.22,-0.07,0,-0.06
2/1/2012,1.41,0.12,0.21,-0.26,0.08,0,-0.77
2/2/2012,0.29,0.34,-0.09,-0.26,-0.2,0,-0.82
2/3/2012,1.2,-0.28,-0.01,-0.32,-0.04,0,-1
2/6/2012,0.04,0.25,-0.08,0.06,-0.02,0,-0.22
2/7/2012,0.3,-0.28,0.13,0.09,0.1,0,0.04
2/8/2012,0.24,0.17,0.44,-0.27,0.05,0,-0.85
2/9/2012,0.16,-0.24,-0.12,0.22,-0.11,0,-0.15
2/10/2012,-1.06,0.09,-0.33,0.37,-0.02,0,1.19
2/13/2012,0.7,0.06,-0.08,-0.11,0.03,0,-0.1
2/14/2012,-0.34,-0.2,-0.2,0.29,-0.16,0,0.56
2/15/2012,0.06,-0.12,0.09,-0.24,0.05,0,-0.4
2/16/2012,0.64,-0.22,-0.05,-0.16,-0.02,0,-0.22
2/17/2012,0.41,-0.12,0.42,-0.25,0.22,0,-0.66
2/20/2012,0.66,-0.14,-0.04,-0.08,-0.03,0,-0.78
2/21/2012,-0.18,-0.02,0.04,0.1,-0.15,0,0.07
2/22/2012,-0.31,0.22,-0.27,0.35,-0.16,0,0.38
2/23/2012,0.58,0.47,-0.23,-0.21,0.09,0,0.27
2/24/2012,0.27,-0.33,-0.2,0.13,-0.11,0,-0.32
2/27/2012,-0.12,0.07,0.14,-0.04,0.12,0,0.35
2/28/2012,0.49,-0.31,-0.09,0.02,-0.14,0,0.19
2/29/2012,-0.6,-0.38,0.05,0.14,0.24,0,0.17
3/1/2012,0.52,-0.43,0.05,-0.05,-0.11,0,-0.03
3/2/2012,-0.53,-0.18,0.16,0.01,0.18,0,0.03
3/5/2012,-0.46,0.26,0.15,0.23,0.29,0,1.01
3/6/2012,-2.1,0.43,0.17,0.45,0.15,0,1.34
3/7/2012,0.6,-0.02,-0.05,-0.12,0.03,0,-0.08
3/8/2012,1.56,-0.3,-0.28,-0.21,-0.01,0,-0.35
3/9/2012,0.06,0.21,0,-0.15,-0.06,0,-0.14
3/12/2012,-0.08,-0.03,-0.08,0.35,0.05,0,0.68
3/13/2012,1.26,-0.57,0.26,-0.49,0.06,0,-0.7
3/14/2012,-0.2,-0.38,0.14,0,0.19,0,0.01
3/15/2012,0.68,-0.08,0.22,-0.34,0.25,0,-0.57
3/16/2012,0.47,-0.02,0.07,-0.14,-0.08,0,-0.63
3/19/2012,0.38,0.19,0.03,-0.05,-0.09,0,-0.08
3/20/2012,-0.71,-0.13,0.06,-0.02,0.14,0,0.27
3/21/2012,-0.22,0.19,-0.3,0.2,0,0,0.59
3/22/2012,-0.69,0.23,-0.05,0.24,0.1,0,1.02
3/23/2012,0.36,0.25,0.07,-0.15,-0.06,0,-0.31
3/26/2012,1.19,-0.19,-0.53,0.08,-0.12,0,0.08
3/27/2012,-0.17,0.13,0.14,0.02,0,0,0.36
3/28/2012,-0.54,0.14,0.19,-0.03,0.3,0,0.42
3/29/2012,-0.51,0.33,-0.18,0.35,-0.04,0,0.58
3/30/2012,0.44,-0.26,-0.2,0.24,0.04,0,0.08
4/2/2012,0.93,-0.26,-0.4,0.28,-0.31,0,0.4
4/3/2012,-0.83,-0.05,-0.32,0.37,0.04,0,0.58
4/4/2012,-1.63,0.18,0.09,0.37,0.23,0,0.77
4/5/2012,-0.21,-0.1,-0.34,0.26,-0.17,0,0.58
4/6/2012,0.08,0.13,-0.01,0.1,0,0,0.12
4/9/2012,-0.74,-0.1,-0.18,0.23,-0.03,0,0.33
4/10/2012,-1.67,0.41,0.12,0.14,0.1,0,0.6
4/11/2012,0.58,-0.1,0.01,-0.17,0.06,0,-0.05
4/12/2012,1.48,-0.13,-0.16,-0.15,-0.13,0,-0.63
4/13/2012,-1.21,0.61,-0.31,0.41,-0.03,0,0.97
4/16/2012,0.07,-0.2,0.36,0.21,0.24,0,0.37
4/17/2012,1.26,-0.67,0.11,-0.22,-0.18,0,-0.44
4/18/2012,-0.19,0.28,-0.46,0.22,-0.08,0,0.66
